 rho:               u1:                 u2:                 u3:
0.014285714       0.00046050566       0.00069064615       0.00086333361
0.028571429        0.0018408951        0.0027586397        0.0034455869
0.042857143        0.0041377894        0.0061921698        0.0077235884
0.057142857        0.0073455682         0.010971630         0.013658954
0.071428571         0.011456387         0.017069735         0.021198438
0.085714286         0.016460202         0.024451684         0.030274420
0.10000000         0.022344800         0.033075368         0.040805520
0.11428571         0.029095833         0.042891621         0.052697346
0.12857143         0.036696869         0.053844514         0.065843350
0.14285714         0.045129434         0.065871684         0.080125802
0.15714286         0.054373073         0.078904709         0.095416859
0.17142857         0.064405409         0.092869511          0.11157974
0.18571429         0.075202214          0.10768680          0.12846994
0.20000000         0.086737478          0.12327252          0.14593658
0.21428571         0.098983490          0.13953840          0.16382376
0.22857143          0.11191092          0.15639241          0.18197195
0.24285714          0.12548890          0.17373932          0.20021946
0.25714286          0.13968513          0.19148131          0.21840390
0.27142857          0.15446596          0.20951847          0.23636360
0.28571429          0.16979650          0.22774940          0.25393913
0.30000000          0.18564071          0.24607185          0.27097465
0.31428571          0.20196150          0.26438325          0.28731939
0.32857143          0.21872087          0.28258132          0.30282892
0.34285714          0.23587999          0.30056468          0.31736647
0.35714286          0.25339930          0.31823341          0.33080412
0.37142857          0.27123867          0.33548959          0.34302395
0.38571429          0.28935745          0.35223794          0.35391905
0.40000000          0.30771464          0.36838624          0.36339444
0.41428571          0.32626898          0.38384595          0.37136794
0.42857143          0.34497904          0.39853264          0.37777081
0.44285714          0.36380338          0.41236647          0.38254834
0.45714286          0.38270062          0.42527261          0.38566034
0.47142857          0.40162958          0.43718167          0.38708140
0.48571429          0.42054935          0.44803006          0.38680110
0.50000000          0.43941944          0.45776031          0.38482407
0.51428571          0.45819986          0.46632136          0.38116986
0.52857143          0.47685122          0.47366884          0.37587277
0.54285714          0.49533483          0.47976526          0.36898145
0.55714286          0.51361281          0.48458021          0.36055845
0.57142857          0.53164814          0.48809045          0.35067963
0.58571429          0.54940478          0.49028005          0.33943339
0.60000000          0.56684777          0.49114039          0.32691993
0.61428571          0.58394324          0.49067019          0.31325024
0.62857143          0.60065855          0.48887547          0.29854516
0.64285714          0.61696234          0.48576946          0.28293423
0.65714286          0.63282458          0.48137248          0.26655455
0.67142857          0.64821662          0.47571180          0.24954955
0.68571429          0.66311129          0.46882141          0.23206771
0.70000000          0.67748290          0.46074181          0.21426124
0.71428571          0.69130730          0.45151975          0.19628479
0.72857143          0.70456193          0.44120788          0.17829402
0.74285714          0.71722583          0.42986449          0.16044433
0.75714286          0.72927968          0.41755310          0.14288948
0.77142857          0.74070583          0.40434206          0.12578027
0.78571429          0.75148829          0.39030422          0.10926330
0.80000000          0.76161277          0.37551641         0.093479681
0.81428571          0.77106667          0.36005905         0.078563917
0.82857143          0.77983907          0.34401569         0.064642745
0.84285714          0.78792075          0.32747249         0.051834122
0.85714286          0.79530416          0.31051779         0.040246269
0.87142857          0.80198342          0.29324161         0.029976808
0.88571429          0.80795431          0.27573513         0.021111998
0.90000000          0.81321419          0.25809024         0.013726077
0.91428571          0.81776205          0.24039904        0.0078807124
0.92857143          0.82159844          0.22275333        0.0036245550
0.94285714          0.82472542          0.20524416       0.00099291964
0.95714286          0.82714654          0.18796138       7.5732820E-06
0.97142857          0.82886682          0.17099315       0.00067664345
0.98571429          0.82989264          0.15442556        0.0029946417
 1.0000000          0.83023177          0.13834213        0.0069426019
 1.0142857          0.82989325          0.12282351         0.012488331
 1.0285714          0.82888737          0.10794703         0.019586766
 1.0428571          0.82722562         0.093786374         0.028180441
 1.0571429          0.82492060         0.080411254         0.038200045
 1.0714286          0.82198601         0.067887109         0.049565081
 1.0857143          0.81843652         0.056274826         0.062184604
 1.1000000          0.81428778         0.045630495         0.075958043
 1.1142857          0.80955629         0.036005199         0.090776092
 1.1285714          0.80425939         0.027444821          0.10652166
 1.1428571          0.79841516         0.019989893          0.12307089
 1.1571429          0.79204237         0.013675470          0.14029420
 1.1714286          0.78516040        0.0085310382          0.15805736
 1.1857143          0.77778919        0.0045804466          0.17622263
 1.2000000          0.76994918        0.0018418786          0.19464986
 1.2142857          0.76166122       0.00032784657          0.21319764
 1.2285714          0.75294652       4.5218386E-05          0.23172445
 1.2428571          0.74382659       0.00099527144          0.25008971
 1.2571429          0.73432318        0.0031737745          0.26815496
 1.2714286          0.72445821        0.0065710959          0.28578486
 1.2857143          0.71425372         0.011172337          0.30284828
 1.3000000          0.70373180         0.016957488          0.31921920
 1.3142857          0.69291454         0.023901610          0.33477771
 1.3285714          0.68182400         0.031975034          0.34941084
 1.3428571          0.67048211         0.041143581          0.36301338
 1.3571429          0.65891065         0.051368798          0.37548858
 1.3714286          0.64713122         0.062608215          0.38674883
 1.3857143          0.63516514         0.074815610          0.39671624
 1.4000000          0.62303346         0.087941289          0.40532309
 1.4142857          0.61075689          0.10193238          0.41251225
 1.4285714          0.59835578          0.11673312          0.41823752
 1.4428571          0.58585006          0.13228520          0.42246383
 1.4571429          0.57325922          0.14852800          0.42516737
 1.4714286          0.56060229          0.16539900          0.42633568
 1.4857143          0.54789778          0.18283402          0.42596757
 1.5000000          0.53516369          0.20076756          0.42407303
 1.5142857          0.52241746          0.21913315          0.42067299
 1.5285714          0.50967598          0.23786360          0.41579908
 1.5428571          0.49695551          0.25689135          0.40949326
 1.5571429          0.48427173          0.27614876          0.40180734
 1.5714286          0.47163970          0.29556839          0.39280258
 1.5857143          0.45907383          0.31508330          0.38254905
 1.6000000          0.44658791          0.33462730          0.37112504
 1.6142857          0.43419506          0.35413527          0.35861644
 1.6285714          0.42190775          0.37354332          0.34511596
 1.6428571          0.40973780          0.39278910          0.33072247
 1.6571429          0.39769635          0.41181201          0.31554016
 1.6714286          0.38579392          0.43055336          0.29967778
 1.6857143          0.37404033          0.44895663          0.28324781
 1.7000000          0.36244477          0.46696762          0.26636564
 1.7142857          0.35101579          0.48453458          0.24914873
 1.7285714          0.33976127          0.50160842          0.23171579
 1.7428571          0.32868850          0.51814278          0.21418595
 1.7571429          0.31780412          0.53409416          0.19667798
 1.7714286          0.30711418          0.54942205          0.17930945
 1.7857143          0.29662412          0.56408895          0.16219600
 1.8000000          0.28633880          0.57806048          0.14545060
 1.8142857          0.27626252          0.59130541          0.12918284
 1.8285714          0.26639902          0.60379569          0.11349827
 1.8428571          0.25675151          0.61550647         0.098497796
 1.8571429          0.24732267          0.62641609         0.084277072
 1.8714286          0.23811469          0.63650609         0.070925999
 1.8857143          0.22912928          0.64576118         0.058528236
 1.9000000          0.22036766          0.65416916         0.047160781
 1.9142857          0.21183064          0.66172093         0.036893601
 1.9285714          0.20351858          0.66841039         0.027789318
 1.9428571          0.19543144          0.67423437         0.019902954
 1.9571429          0.18756880          0.67919255         0.013281724
 1.9714286          0.17992984          0.68328738        0.0079648990
 1.9857143          0.17251345          0.68652395        0.0039837119
 2.0000000          0.16531813          0.68890990        0.0013613245
 2.0142857          0.15834212          0.69045532       0.00011284608
 2.0285714          0.15158333          0.69117258       0.00024540392
 2.0428571          0.14503945          0.69107626        0.0017582625
 2.0571429          0.13870786          0.69018297        0.0046429906
 2.0714286          0.13258576          0.68851127        0.0088836727
 2.0857143          0.12667010          0.68608147         0.014457162
 2.1000000          0.12095765          0.68291553         0.021333371
 2.1142857          0.11544500          0.67903693         0.029475602
 2.1285714          0.11012857          0.67447049         0.038840902
 2.1428571          0.10500464          0.66924226         0.049380455
 2.1571429          0.10006936          0.66337936         0.061039993
 2.1714286         0.095318766          0.65690989         0.073760230
 2.1857143         0.090748791          0.64986271         0.087477318
 2.2000000         0.086355286          0.64226737          0.10212331
 2.2142857         0.082134028          0.63415399          0.11762665
 2.2285714         0.078080739          0.62555307          0.13391262
 2.2428571         0.074191093          0.61649542          0.15090390
 2.2571429         0.070460728          0.60701202          0.16852099
 2.2714286         0.066885263          0.59713391          0.18668272
 2.2857143         0.063460303          0.58689209          0.20530675
 2.3000000         0.060181452          0.57631738          0.22431002
 2.3142857         0.057044322          0.56544038          0.24360922
 2.3285714         0.054044542          0.55429133          0.26312124
 2.3428571         0.051177765          0.54290004          0.28276360
 2.3571429         0.048439677          0.53129581          0.30245486
 2.3714286         0.045826007          0.51950734          0.32211503
 2.3857143         0.043332527          0.50756268          0.34166591
 2.4000000         0.040955066          0.49548916          0.36103147
 2.4142857         0.038689509          0.48331333          0.38013817
 2.4285714         0.036531806          0.47106090          0.39891523
 2.4428571         0.034477976          0.45875670          0.41729496
 2.4571429         0.032524111          0.44642466          0.43521291
 2.4714286         0.030666379          0.43408775          0.45260820
 2.4857143         0.028901028          0.42176795          0.46942364
 2.5000000         0.027224389          0.40948624          0.48560588
 2.5142857         0.025632879          0.39726258          0.50110562
 2.5285714         0.024123002          0.38511588          0.51587762
 2.5428571         0.022691350          0.37306400          0.52988088
 2.5571429         0.021334608          0.36112378          0.54307862
 2.5714286         0.020049551          0.34931096          0.55543835
 2.5857143         0.018833046          0.33764027          0.56693184
 2.6000000         0.017682055          0.32612537          0.57753515
 2.6142857         0.016593631          0.31477889          0.58722857
 2.6285714         0.015564922          0.30361246          0.59599654
 2.6428571         0.014593167          0.29263670          0.60382760
 2.6571429         0.013675700          0.28186124          0.61071427
 2.6714286         0.012809943          0.27129476          0.61665294
 2.6857143         0.011993412          0.26094500          0.62164377
 2.7000000         0.011223712          0.25081880          0.62569051
 2.7142857         0.010498535          0.24092211          0.62880033
 2.7285714        0.0098156618          0.23126004          0.63098372
 2.7428571        0.0091729583          0.22183688          0.63225425
 2.7571429        0.0085683747          0.21265613          0.63262840
 2.7714286        0.0079999435          0.20372054          0.63212540
 2.7857143        0.0074657780          0.19503215          0.63076700
 2.8000000        0.0069640702          0.18659231          0.62857728
 2.8142857        0.0064930891          0.17840171          0.62558245
 2.8285714        0.0060511784          0.17046044          0.62181065
 2.8428571        0.0056367550          0.16276803          0.61729174
 2.8571429        0.0052483065          0.15532344          0.61205712
 2.8714286        0.0048843893          0.14812514          0.60613949
 2.8857143        0.0045436263          0.14117112          0.59957269
 2.9000000        0.0042247053          0.13445892          0.59239149
 2.9142857        0.0039263763          0.12798572          0.58463139
 2.9285714        0.0036474496          0.12174827          0.57632849
 2.9428571        0.0033867940          0.11574302          0.56751925
 2.9571429        0.0031433342          0.10996611          0.55824037
 2.9714286        0.0029160491          0.10441339          0.54852859
 2.9857143        0.0027039695         0.099080461          0.53842057
 3.0000000        0.0025061763         0.093962710          0.52795274
 3.0142857        0.0023217984         0.089055329          0.51716115
 3.0285714        0.0021500109         0.084353344          0.50608135
 3.0428571        0.0019900329         0.079851638          0.49474828
 3.0571429        0.0018411258         0.075544977          0.48319615
 3.0714286        0.0017025916         0.071428028          0.47145835
 3.0857143        0.0015737707         0.067495387          0.45956735
 3.1000000        0.0014540408         0.063741593          0.44755464
 3.1142857        0.0013428145         0.060161151          0.43545061
 3.1285714        0.0012395384         0.056748548          0.42328457
 3.1428571        0.0011436906         0.053498269          0.41108460
 3.1571429        0.0010547802         0.050404814          0.39887759
 3.1714286       0.00097234491         0.047462711          0.38668913
 3.1857143       0.00089595019         0.044666530          0.37454354
 3.2000000       0.00082518759         0.042010895          0.36246381
 3.2142857       0.00075967347         0.039490495          0.35047159
 3.2285714       0.00069904774         0.037100093          0.33858721
 3.2428571       0.00064297260         0.034834537          0.32682964
 3.2571429       0.00059113136         0.032688766          0.31521651
 3.2714286       0.00054322731         0.030657820          0.30376415
 3.2857143       0.00049898257         0.028736844          0.29248753
 3.3000000       0.00045813714         0.026921094          0.28140038
 3.3142857       0.00042044782         0.025205942          0.27051511
 3.3285714       0.00038568729         0.023586881          0.25984295
 3.3428571       0.00035364320         0.022059526          0.24939386
 3.3571429       0.00032411727         0.020619619          0.23917667
 3.3714286       0.00029692453         0.019263030          0.22919907
 3.3857143       0.00027189243         0.017985760          0.21946765
 3.4000000       0.00024886020         0.016783938          0.20998795
 3.4142857       0.00022767807         0.015653826          0.20076450
 3.4285714       0.00020820659         0.014591816          0.19180088
 3.4428571       0.00019031605         0.013594432          0.18309976
 3.4571429       0.00017388581         0.012658325          0.17466293
 3.4714286       0.00015880375         0.011780279          0.16649137
 3.4857143       0.00014496575         0.010957200          0.15858529
 3.5000000       0.00013227512         0.010186124          0.15094419
